HUC2,coscat,coascat_name,river,lake
01,430,Connecticut,2410,648
02,220,Susquehanna,2040,486
03,137,Alabama,3084,708
04,24,Saint Lawrence,1771,376
05,4,Wabask part of Mississippi,1935,521
06,4,Upper Tennessee part of Mississippi,1629,783
07,4,Upper Mississippi part of Mississippi,1788,489
08,4,Lower Red part of Mississippi,2587,757
09,21,Red River north to the nelson,1681,734
10,4,Missouri part of Mississippi,1345,486
11,4,Arkansas part of Mississippi,1590,736
12,141,Colorado Texas ï¿½312Nueces,2361,490
13,35,Rio Grande (US),1483,563
14,34,Colorado,1020,452
15,34,Colorado,1533,566
16,123,HUMBOLDT,1122,340
17,40,Columbia,928,614
18,271,Sacramento,1345,701
